original_City,lat,lon,formatted,district,suburb,name,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Franklin,35.925206,-86.8689419,"Franklin, TN, United States of America",,,,,Franklin,Williamson County,Tennessee,TN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Scottsdale,33.4942189,-111.9260184,"Scottsdale, AZ, United States of America",,,,,Scottsdale,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
San Jose,37.3361663,-121.890591,"San Jose, CA, United States of America",,,,,San Jose,Santa Clara County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edmond,35.6571367,-97.4649038,"Edmond, OK, United States of America",,,,,Edmond,Oklahoma County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Carlsbad,32.4257456,-104.237612,"Carlsbad, NM, United States of America",,,,,Carlsbad,Eddy County,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
San Antonio,29.4246002,-98.4951405,"San Antonio, TX, United States of America",,,,,San Antonio,Bexar County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Monroe,32.5102427,-92.1032411,"Monroe, LA, United States of America",,,,,Monroe,Ouachita Parish,Louisiana,LA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fairfield,38.2493581,-122.039966,"Fairfield, CA, United States of America",,,,,Fairfield,Solano County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grand Prairie,32.7459645,-96.9977846,"Grand Prairie, TX, United States of America",,,,,Grand Prairie,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Redlands,34.0550328,-117.1827445,"Redlands, CA, United States of America",,,,,Redlands,San Bernardino County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hamilton,39.3995067,-84.5613428,"Hamilton, OH 45013, United States of America",,,,45013,Hamilton,Butler County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Westfield,42.1390327,-72.7584859,"Westfield, MA, United States of America",,,,,Westfield,Hampden County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Akron,41.083064,-81.518485,"Akron, OH, United States of America",,,,,Akron,Summit County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Denver,39.7392364,-104.984862,"Denver, CO, United States of America",,,,,Denver,,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dallas,32.7762719,-96.7968559,"Dallas, TX, United States of America",,,,,Dallas,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Whittier,33.9708782,-118.030839,"Whittier, CA, United States of America",,,,,Whittier,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saginaw,43.4200387,-83.9490365,"Saginaw, MI, United States of America",,,,,Saginaw,Saginaw County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Medina,45.0151361,-93.574375,"Medina, MN, United States of America",,,,,Medina,Hennepin County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dublin,37.7021521,-121.9357918,"Dublin, CA 94568, United States of America",,,,94568,Dublin,Alameda County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Detroit,42.3315509,-83.0466403,"Detroit, MI, United States of America",,,,,Detroit,Wayne County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tampa,27.9477595,-82.458444,"Tampa, FL, United States of America",,,,,Tampa,Hillsborough County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Santa Clara,37.3541132,-121.955174,"Santa Clara, CA, United States of America",,,,,Santa Clara,Santa Clara County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lakeville,44.650051,-93.2432791,"Lakeville, MN, United States of America",,,,,Lakeville,Dakota County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
San Diego,32.7174202,-117.1627728,"San Diego, CA, United States of America",,,,,San Diego,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brentwood,37.9317766,-121.696026,"Brentwood, CA, United States of America",,,,,Brentwood,Contra Costa County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapel Hill,35.9131542,-79.05578,"Chapel Hill, NC, United States of America",,,,,Chapel Hill,Orange County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Morristown,40.7970382,-74.4809868,"Morristown, NJ 07960, United States of America",,,,07960,Morristown,Morris County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cincinnati,39.1014537,-84.5124602,"Cincinnati, OH, United States of America",,,,,Cincinnati,Hamilton County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Inglewood,33.9562003,-118.353132,"Inglewood, CA, United States of America",,,,,Inglewood,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tamarac,26.2128609,-80.2497707,"Tamarac, FL, United States of America",,Tamarac,,,,Broward County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Colorado Springs,38.8339578,-104.825348,"Colorado Springs, CO, United States of America",,,,,Colorado Springs,El Paso County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belleville,38.5200504,-89.9839935,"Belleville, IL, United States of America",,,,,Belleville,Saint Clair County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Taylor,42.240872,-83.2696509,"Taylor, MI 48180, United States of America",,,,48180,Taylor,Wayne County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lakewood,39.7085736,-105.0846694,"Lakewood, CO, United States of America",,,,,Lakewood,Jefferson County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arlington,32.7355816,-97.1071186,"Arlington, TX, United States of America",,,,,Arlington,Tarrant County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arvada,39.8005505,-105.0811573,"Arvada, CO, United States of America",,,,,Arvada,Jefferson County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hackensack,40.8871438,-74.0410865,"Hackensack, NJ 07601, United States of America",,,,07601,Hackensack,Bergen County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint Petersburg,27.7703796,-82.6695085,"Saint Petersburg, FL, United States of America",,,,,Saint Petersburg,Pinellas County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Long Beach,33.7690164,-118.191604,"Long Beach, CA, United States of America",,,,,Long Beach,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hesperia,34.4263886,-117.3008784,"Hesperia, CA, United States of America",,,,,Hesperia,San Bernardino County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Murfreesboro,35.8460396,-86.3921096,"Murfreesboro, TN, United States of America",,,,,Murfreesboro,Rutherford County,Tennessee,TN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Layton,41.0751048,-111.9741925,"Layton, UT, United States of America",,,,,Layton,Davis County,Utah,UT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Austin,30.2711286,-97.7436995,"Austin, TX, United States of America",,,,,Austin,Travis County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lowell,42.6334247,-71.3161718,"Lowell, MA, United States of America",,,,,Lowell,Middlesex County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Manchester,42.9956397,-71.4547891,"Manchester, NH, United States of America",,,,,Manchester,Hillsborough County,New Hampshire,NH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harlingen,26.1907543,-97.6960599,"Harlingen, TX, United States of America",,,,,Harlingen,Cameron County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tucson,32.2228765,-110.9748477,"Tucson, AZ, United States of America",,,,,Tucson,Pima County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quincy,42.2509914,-71.0037374,"Quincy, MA, United States of America",,,,,Quincy,Norfolk County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pembroke Pines,26.0031465,-80.223937,"Pembroke Pines, Pembroke Pines, FL, United States of America",,Pembroke Pines,,,Pembroke Pines,Broward County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Des Moines,41.5910323,-93.6046655,"Des Moines, IA, United States of America",,,,,Des Moines,Polk County,Iowa,IA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peoria,40.6938609,-89.5891008,"Peoria, IL, United States of America",,,,,Peoria,Peoria County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Las Vegas,36.1672559,-115.148516,"Las Vegas, NV, United States of America",,,,,Las Vegas,Clark County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Warwick,41.7002024,-71.4161108,"Warwick, Warwick, RI, United States of America",,Warwick,,,Warwick,Kent County,Rhode Island,RI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Miami,25.7741728,-80.19362,"Miami, FL, United States of America",,,,,Miami,Miami-Dade County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Huntington Beach,33.6783336,-118.0000166,"Huntington Beach, CA, United States of America",,,,,Huntington Beach,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Richmond,37.5385087,-77.43428,"Richmond, VA, United States of America",,,,,Richmond,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Louisville,38.2542376,-85.759407,"Louisville, KY, United States of America",,,,,Louisville,Jefferson County,Kentucky,KY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lawrence,38.9719384,-95.2359496,"Lawrence, KS, United States of America",,,,,Lawrence,Douglas County,Kansas,KS,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Canton,32.555664,-95.8640507,"Canton, TX 75103, United States of America",,,,75103,Canton,Van Zandt County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New Rochelle,40.917903,-73.783221,"New Rochelle, NY, United States of America",New Rochelle,,,,New Rochelle,Westchester County,New York,NY,United States,us,1,1,,,https://www.whosonfirst.org/docs/licenses/
Gastonia,35.2622654,-81.1838186,"Gastonia, NC, United States of America",,,,,Gastonia,Gaston County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jacksonville,30.3321838,-81.655651,"Jacksonville, FL, United States of America",,,,,Jacksonville,Duval County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Auburn,32.6098566,-85.4807825,"Auburn, AL, United States of America",,,,,Auburn,Lee County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Norman,35.2225717,-97.4394816,"Norman, OK, United States of America",,,,,Norman,Cleveland County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Park Ridge,42.0112329,-87.8406031,"Park Ridge, IL 60068, United States of America",,,,60068,Park Ridge,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amarillo,35.2072185,-101.833824,"Amarillo, TX, United States of America",,,,,Amarillo,Potter County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lindenhurst,42.4105765,-88.0261911,"Lindenhurst, IL, United States of America",,,,,Lindenhurst,Lake County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Huntsville,34.729847,-86.5859011,"Huntsville, AL, United States of America",,,,,Huntsville,Madison County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fayetteville,36.0625843,-94.1574328,"Fayetteville, AR, United States of America",,,,,Fayetteville,Washington County,Arkansas,AR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Costa Mesa,33.6633386,-117.903317,"Costa Mesa, CA, United States of America",,,,,Costa Mesa,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parker,39.5184514,-104.7612638,"Parker, CO 80134, United States of America",,,,80134,Parker,Douglas County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Atlanta,33.7489924,-84.3902644,"Atlanta, GA, United States of America",,,,,Atlanta,Fulton County,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gladstone,40.864483,-90.9612528,"Gladstone, IL, United States of America",,,,,Gladstone,Henderson County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Great Falls,47.5048851,-111.29189,"Great Falls, MT, United States of America",,,,,Great Falls,Cascade County,Montana,MT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lakeland,28.0394654,-81.9498042,"Lakeland, FL, United States of America",,,,,Lakeland,Polk County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Montgomery,32.3669656,-86.3006485,"Montgomery, AL, United States of America",,,,,Montgomery,Montgomery County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mesa,33.4151117,-111.8314792,"Mesa, AZ, United States of America",,,,,Mesa,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Green Bay,44.5126379,-88.0125794,"Green Bay, WI, United States of America",,,,,Green Bay,Brown County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anaheim,33.8347516,-117.911732,"Anaheim, CA, United States of America",,,,,Anaheim,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marysville,48.0517429,-122.1768209,"Marysville, WA, United States of America",,,,,Marysville,Snohomish County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salem,44.9391565,-123.033121,"Salem, OR, United States of America",,,,,Salem,Marion County,Oregon,OR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Laredo,27.5236998,-99.497352,"Laredo, TX, United States of America",,,,,Laredo,Webb County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grove City,45.1505185,-94.6830533,"Grove City, MN, United States of America",,,,,Grove City,Meeker County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dearborn,42.3222599,-83.1763145,"Dearborn, MI, United States of America",,,,,Dearborn,Wayne County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Warner Robins,32.6200973,-83.606568,"Warner Robins, GA, United States of America",,,,,Warner Robins,Houston County,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vallejo,38.1040864,-122.2566367,"Vallejo, CA, United States of America",,,,,Vallejo,Solano County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mission Viejo,33.5965685,-117.659405,"Mission Viejo, CA, United States of America",,,,,Mission Viejo,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rochester Hills,42.6583661,-83.1499322,"Rochester Hills, MI, United States of America",,,,,Rochester Hills,Oakland County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plainfield,41.6086711,-88.2054345,"Plainfield, IL, United States of America",,,,,Plainfield,Will County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
